DD/MM/YYYY HH:MM,ID1 (EUR/MWh)
01/01/2024 00:00,0.98
01/01/2024 00:15,0.46
01/01/2024 00:30,-4.01
01/01/2024 00:45,3.85
01/01/2024 01:00,1.26
01/01/2024 01:15,-7.31
01/01/2024 01:30,-1.99
01/01/2024 01:45,-2.57
01/01/2024 02:00,4.04
01/01/2024 02:15,1.45
01/01/2024 02:30,1.87
01/01/2024 02:45,0.39
01/01/2024 03:00,8.43
01/01/2024 03:15,5.54
01/01/2024 03:30,3.74
01/01/2024 03:45,4.87
01/01/2024 04:00,4.42
01/01/2024 04:15,11.72
01/01/2024 04:30,21.13
01/01/2024 04:45,11.51
01/01/2024 05:00,8.55
01/01/2024 05:15,6.25
01/01/2024 05:30,13.67
01/01/2024 05:45,29.62
01/01/2024 06:00,-4.36
01/01/2024 06:15,-1.8
01/01/2024 06:30,4.29
01/01/2024 06:45,10.44
01/01/2024 07:00,-2.26
01/01/2024 07:15,9.25
01/01/2024 07:30,29.04
01/01/2024 07:45,41.12
01/01/2024 08:00,13.72
01/01/2024 08:15,23.89
01/01/2024 08:30,12.71
01/01/2024 08:45,2.83
01/01/2024 09:00,-0.33
01/01/2024 09:15,-0.61
01/01/2024 09:30,-1.74
01/01/2024 09:45,-7.49
01/01/2024 10:00,0.94
01/01/2024 10:15,-3.18
01/01/2024 10:30,-4.58
01/01/2024 10:45,-9.05
01/01/2024 11:00,18.84
01/01/2024 11:15,3.05
01/01/2024 11:30,-3.37
01/01/2024 11:45,-2.25
01/01/2024 12:00,1.79
01/01/2024 12:15,-8.97
01/01/2024 12:30,-7.8
01/01/2024 12:45,-5.63
01/01/2024 13:00,-8.7
01/01/2024 13:15,-20.4
01/01/2024 13:30,-15.91
01/01/2024 13:45,-6.21
01/01/2024 14:00,-2.2
01/01/2024 14:15,16.24
01/01/2024 14:30,32.22
01/01/2024 14:45,49.84
01/01/2024 15:00,32.77
01/01/2024 15:15,51.53
01/01/2024 15:30,60.7
01/01/2024 15:45,64.43
01/01/2024 16:00,26.21
01/01/2024 16:15,45.74
01/01/2024 16:30,64.25
01/01/2024 16:45,64.65
01/01/2024 17:00,55.47
01/01/2024 17:15,57.71
01/01/2024 17:30,52.07
01/01/2024 17:45,53.96
01/01/2024 18:00,52.02
01/01/2024 18:15,60.4
01/01/2024 18:30,59.81
01/01/2024 18:45,48.67
01/01/2024 19:00,58.87
